epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.689,1.1788,1.61715,1.61004,0.65363,0.60477,0.69172,0.37033,1.5156,2.51558,2.30645,0.000332168,0.000332168,0.000332168
2,314.736,1.18576,1.14926,1.58311,0.64594,0.8057,0.8508,0.58726,1.04581,1.15648,1.70989,0.000652324,0.000652324,0.000652324
3,471.23,1.15572,1.07865,1.54971,0.88099,0.84296,0.92859,0.43916,1.65864,1.02878,2.40167,0.000959281,0.000959281,0.000959281
4,627.075,1.121,0.98191,1.52358,0.97988,0.96983,0.98915,0.72475,0.95706,0.49411,1.62668,0.0009406,0.0009406,0.0009406
5,783.015,1.05413,0.88182,1.46906,0.93879,0.9806,0.99075,0.72023,0.94297,0.52838,1.61532,0.0009208,0.0009208,0.0009208
6,938.712,1.01782,0.83866,1.4403,0.96713,0.95272,0.98724,0.76971,0.79207,0.46959,1.43269,0.000901,0.000901,0.000901
7,1094.69,0.97471,0.7769,1.40574,0.97504,0.98556,0.99362,0.79514,0.77261,0.40296,1.40539,0.0008812,0.0008812,0.0008812
8,1250.55,0.97273,0.74758,1.40393,0.97678,0.98908,0.99242,0.70815,1.05553,0.44035,1.67973,0.0008614,0.0008614,0.0008614
9,1406.41,0.94664,0.71294,1.38139,0.95845,0.96638,0.99406,0.78669,0.78631,0.45156,1.39738,0.0008416,0.0008416,0.0008416
10,1562.23,0.9249,0.69068,1.37326,0.98211,0.97133,0.99489,0.76448,0.88671,0.40836,1.48629,0.0008218,0.0008218,0.0008218
11,1717.76,0.90692,0.66559,1.35296,0.99003,0.98074,0.99422,0.84111,0.64724,0.34971,1.26709,0.000802,0.000802,0.000802
12,1873.49,0.89523,0.65191,1.34319,0.98746,0.98916,0.99495,0.84002,0.63672,0.33622,1.24431,0.0007822,0.0007822,0.0007822
13,2028.97,0.87188,0.63636,1.32673,0.99779,0.99613,0.995,0.84931,0.60086,0.31331,1.20486,0.0007624,0.0007624,0.0007624
14,2184.51,0.85812,0.61081,1.31748,0.99496,0.99822,0.995,0.85711,0.63655,0.30941,1.24355,0.0007426,0.0007426,0.0007426
15,2340.5,0.85552,0.6153,1.31525,0.99346,1,0.995,0.85911,0.58621,0.27916,1.17306,0.0007228,0.0007228,0.0007228
16,2496.39,0.8308,0.58231,1.30032,0.99059,0.99492,0.99466,0.86154,0.57389,0.30054,1.17511,0.000703,0.000703,0.000703
17,2652.27,0.83041,0.5812,1.29788,0.99807,0.99182,0.99493,0.87385,0.5418,0.28215,1.14515,0.0006832,0.0006832,0.0006832
18,2808.16,0.81383,0.55082,1.28818,0.99761,0.99889,0.995,0.86765,0.55163,0.27198,1.14599,0.0006634,0.0006634,0.0006634
